rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,train/value_loss,train/loss,train/clip_range,train/approx_kl,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/learning_rate
-45.51666666666666,1,25.96153846153846,11339,2048,0,,,,,,,,,,
-43.4,2,26.0,7250,4096,0,137.06502522230147,36.04161834716797,0.2,0.021101523,0.266748046875,-0.6754976663738489,-0.02995058054511901,0.000703275203704834,10,0.0003
-35.132999999999996,3,27.67,6759,6144,0,87.899653506279,32.05773162841797,0.2,0.015369497,0.160302734375,-0.6462346447631717,-0.021431998249317984,0.01801067590713501,20,0.0003
-33.952000000000005,4,32.48,6543,8192,1,42.85495933890343,13.978691101074219,0.2,0.010723285,0.20361328125,-0.5802663804963231,-0.021878962763003072,0.2126951813697815,30,0.0003
-29.526999999999994,5,32.73,6425,10240,1,41.78936079442501,20.428897857666016,0.2,0.008872729,0.193603515625,-0.5096812258474529,-0.021883927649469115,0.3748610019683838,40,0.0003
-20.732,6,29.18,6347,12288,1,34.394613581895825,14.473237991333008,0.2,0.009140089,0.189208984375,-0.4273886733688414,-0.02474909974989714,0.45401573181152344,50,0.0003
-12.753,7,27.47,6291,14336,2,12.901351042091846,7.721231460571289,0.2,0.051192608,0.120703125,-0.28411022406071423,-0.027783957608335186,0.486250638961792,60,0.0003
-8.8,8,25.5,6246,16384,2,6.190386841446161,2.640817642211914,0.2,0.007274063,0.033935546875,-0.14369354341179133,-0.010011777066392825,-0.14736807346343994,70,0.0003
-8.015999999999998,9,29.84,6216,18432,2,2.701986225694418,1.467624545097351,0.2,0.0039181914,0.015185546875,-0.10360204867320136,-0.004363752595963888,-0.8332494497299194,80,0.0003
-7.24,10,34.6,6163,20480,3,5.590571647882461,3.1207683086395264,0.2,0.0037315593,0.0275390625,-0.19120875077787786,-0.003971063501376193,-0.07986128330230713,90,0.0003
-5.72,11,38.3,6000,22528,3,7.886148700118065,6.838878631591797,0.2,0.006149894,0.04013671875,-0.2167975532822311,-0.007471477506624069,0.004415035247802734,100,0.0003
-4.8020000000000005,12,41.98,5965,24576,4,8.349399323761464,4.021266937255859,0.2,0.0051520998,0.029052734375,-0.17666822352912276,-0.004372042405884713,0.07352185249328613,110,0.0003
-3.088,13,49.62,5950,26624,4,10.490078137814999,4.010391712188721,0.2,0.0020278303,0.016357421875,-0.16459785404149443,-0.002288371768372599,0.07939761877059937,120,0.0003
-1.2459999999999993,14,59.54,5923,28672,4,11.614072269201278,4.666545391082764,0.2,0.0013488713,0.0185546875,-0.18325920703355222,-0.0019354687290615402,0.07707208395004272,130,0.0003
0.128,15,65.28,5905,30720,5,12.545216824114323,7.444412708282471,0.2,0.0021159407,0.021728515625,-0.15242998064495622,-0.0049715844594175,0.06294125318527222,140,0.0003
2.1039999999999996,16,74.54,5890,32768,5,12.041354934871197,6.3016133308410645,0.2,0.0009610519,0.014794921875,-0.1598769759060815,-0.00011393815875635483,0.055573999881744385,150,0.0003
2.3400000000000003,17,74.9,5877,34816,5,14.632147344946862,8.944488525390625,0.2,0.0023057053,0.025390625,-0.14999963922891765,-0.0021562555848504417,0.06335467100143433,160,0.0003
3.603,18,79.03,5868,36864,6,17.44411631822586,10.235210418701172,0.2,0.0014617674,0.0296875,-0.14762135748751462,-0.004170152058941312,0.13067692518234253,170,0.0003
4.335999999999999,19,82.86,5861,38912,6,13.386349637806415,8.35391902923584,0.2,0.0010528117,0.02685546875,-0.1419711151625961,-0.004077997470449191,0.20315676927566528,180,0.0003
6.262999999999998,20,92.13,5855,40960,6,15.005419684946537,7.129662036895752,0.2,0.00404725,0.021533203125,-0.12302269878564402,-0.0019224107236368582,0.15160876512527466,190,0.0003
6.552,21,94.02,5849,43008,7,15.355746963620186,8.312458992004395,0.2,0.0011374324,0.01982421875,-0.12007084557553753,-0.0012239755422342568,0.16893094778060913,200,0.0003
9.304,22,107.54,5846,45056,7,14.251775567233562,5.4587836265563965,0.2,0.000897275,0.024560546875,-0.11098281659651547,-0.0010810123021656182,0.2941898703575134,210,0.0003
13.097000000000001,23,125.47,5846,47104,8,17.259465792775153,8.744060516357422,0.2,0.0025367904,0.027099609375,-0.11707055516308174,-0.0035373576465644874,0.29372352361679077,220,0.0003
15.741,24,136.4,5850,49152,8,11.659325484931468,9.290023803710938,0.2,0.0014442136,0.025537109375,-0.10324235493317246,0.0006110453170549591,0.28917407989501953,230,0.0003
16.398999999999997,25,138.98,5855,51200,8,12.96454701423645,9.483123779296875,0.2,0.0054946598,0.029833984375,-0.10397736493032425,-0.001906466024229303,0.09419506788253784,240,0.0003
19.967,26,155.65,5859,53248,9,13.563779851049185,6.51776647567749,0.2,0.0015541872,0.01708984375,-0.09531471267109737,-0.0004093084338819608,0.19082117080688477,250,0.0003
23.504,27,172.02,5865,55296,9,5.827748819068074,4.810424327850342,0.2,0.004142291,0.0359375,-0.0825729483505711,-0.003828557908855146,0.2793024778366089,260,0.0003
26.110000000000003,28,184.08,5871,57344,9,13.114332793653011,6.6104021072387695,0.2,0.011683779,0.043994140625,-0.09735643228050321,-0.00854130346851889,0.17663335800170898,270,0.0003
27.124000000000006,29,188.72,5877,59392,10,17.8372261852026,7.055047512054443,0.2,0.0022685449,0.032568359375,-0.0882687084376812,-0.0015463082148926333,0.07581233978271484,280,0.0003
31.59,30,209.37,5883,61440,10,15.398368334770202,7.347597599029541,0.2,0.0020406921,0.029931640625,-0.07930426467792132,-0.00334153860603692,0.2210751175880432,290,0.0003
33.065,31,216.12,5887,63488,10,14.486395723372699,4.7509236335754395,0.2,0.0019065309,0.037744140625,-0.07766217617318034,-0.0011736800952348858,0.16587018966674805,300,0.0003
36.069,32,230.16,5892,65536,11,17.680885243415833,6.311363220214844,0.2,0.003426891,0.029931640625,-0.07196193726267666,-0.000924476126965601,0.17162233591079712,310,0.0003
37.452,33,235.99,5897,67584,11,12.368317066878081,4.614252090454102,0.2,0.0024396996,0.032568359375,-0.07275351638672874,-0.002366590584279038,0.27962517738342285,320,0.0003
41.993,34,256.89,5902,69632,11,9.4970105484128,7.051046371459961,0.2,0.0031972015,0.023046875,-0.06862804183620028,0.0020732097633299417,0.33295273780822754,330,0.0003
45.493,35,272.89,5905,71680,12,5.752088287379593,3.086209774017334,0.2,0.0028009352,0.037109375,-0.06467935222899542,-0.0014430061433813534,0.32423436641693115,340,0.0003
49.317,36,290.62,5908,73728,12,8.633244643546641,1.2533577680587769,0.2,0.0033186753,0.02880859375,-0.062335462623741476,0.0012985210836632178,0.24786508083343506,350,0.0003
51.731,37,301.25,5912,75776,12,15.859043262898922,11.983161926269531,0.2,0.005760654,0.038525390625,-0.06673984336084686,-0.005600002265418879,0.11440515518188477,360,0.0003
53.077999999999996,38,307.72,5912,77824,13,3.3561741458717735,0.8001688718795776,0.2,0.0063241236,0.042919921875,-0.06754820357309654,0.005095508626254741,0.3791910409927368,370,0.0003
56.98000000000001,39,325.22,5911,79872,13,11.715967877395451,12.873614311218262,0.2,0.0052108495,0.033154296875,-0.06817530547268688,-0.0024368395388592035,0.12469261884689331,380,0.0003
59.021,40,335.64,5914,81920,13,6.2770331499166785,0.2387319654226303,0.2,0.0014010969,0.019677734375,-0.06403464058821555,-0.0008712570954230614,0.23644179105758667,390,0.0003
60.82800000000001,41,343.7,5910,83968,14,15.397257090359926,9.500786781311035,0.2,0.009128116,0.02861328125,-0.05994007419794798,0.002214644344348926,0.1025802493095398,400,0.0003
65.634,42,365.74,5905,86016,14,2.6993008692748846,1.1014257669448853,0.2,0.0012387644,0.020556640625,-0.05366168350446969,0.0025293766491813587,0.4760814905166626,410,0.0003
68.554,43,378.43,5897,88064,14,3.599799474561587,0.23938438296318054,0.2,0.0016037198,0.0232421875,-0.05374721220578067,0.000310971328872256,0.4236844778060913,420,0.0003
72.24100000000001,44,395.28,5896,90112,15,3.7311523957177997,2.033989429473877,0.2,0.0049852827,0.023291015625,-0.0537948343961034,0.0019955762501922434,0.3758010268211365,430,0.0003
76.33500000000001,45,414.7,5898,92160,15,3.623440291942097,0.16665436327457428,0.2,0.009030096,0.02138671875,-0.04811957100901054,0.0015248080315359402,0.4002808928489685,440,0.0003
75.67600000000002,46,411.61,5900,94208,15,7.582535353722051,9.023240089416504,0.2,0.0010327017,0.016845703125,-0.0470812710467726,-0.00028404172699083576,0.17787420749664307,450,0.0003
79.35700000000001,47,428.4,5901,96256,16,4.14798487322405,0.5839599370956421,0.2,0.0021080505,0.02138671875,-0.043974343410809524,-0.0003589602441934403,0.34690654277801514,460,0.0003
81.374,48,437.56,5903,98304,16,0.22148725679144263,0.1383611261844635,0.2,0.0041091978,0.024755859375,-0.04516515470313607,0.005967827260610648,0.9196233749389648,470,0.0003
83.87700000000001,49,449.58,5905,100352,16,13.837242173030972,3.0360660552978516,0.2,0.00057152234,0.013232421875,-0.0521905049419729,0.0011150377555168233,0.061100542545318604,480,0.0003
87.92900000000002,50,468.08,5906,102400,17,4.061806485010311,0.32848718762397766,0.2,0.0020409378,0.01611328125,-0.04951962955819909,-9.799269755603746e-05,0.2541118264198303,490,0.0003
88.30499999999998,51,469.84,5908,104448,17,4.11818918758072,6.36863374710083,0.2,0.009312042,0.02314453125,-0.04706398136477219,0.0009889761175145395,0.39470553398132324,500,0.0003
90.743,52,480.71,5908,106496,18,22.57908223643899,8.087507247924805,0.2,0.009331721,0.02802734375,-0.05324259562185034,-0.005907213859609328,0.08708477020263672,510,0.0003
94.81800000000001,53,499.45,5905,108544,18,7.10364393061027,3.520695924758911,0.2,0.0026746932,0.01767578125,-0.04956410605082055,0.0025562431736034343,0.17674434185028076,520,0.0003
94.89699999999999,54,500.24,5895,110592,18,10.671288346126676,3.4280664920806885,0.2,0.0026948908,0.02001953125,-0.047265985785634256,-0.0028703673495328987,0.18751651048660278,530,0.0003
98.757,55,516.82,5897,112640,19,9.024946192093193,1.7946126461029053,0.2,0.0013673839,0.022119140625,-0.04635037980588095,0.0010392841693828813,0.18364757299423218,540,0.0003
101.35799999999999,56,527.82,5898,114688,19,0.22500097600277513,0.0666484609246254,0.2,0.003570926,0.02392578125,-0.04453777646049275,0.001422924958387739,0.7697924375534058,550,0.0003
103.91799999999999,57,539.41,5900,116736,19,13.8979063173756,11.871696472167969,0.2,0.0025899431,0.0328125,-0.0446597016940359,-0.0033787887754442637,0.10527986288070679,560,0.0003
107.22699999999999,58,553.99,5903,118784,20,3.9209323100047184,3.636383295059204,0.2,0.0006599383,0.014013671875,-0.03974063637433574,0.0008665933353768196,0.3083828091621399,570,0.0003
111.69799999999998,59,574.19,5903,120832,20,3.95285786036402,7.253324508666992,0.2,0.0021284283,0.018798828125,-0.042082707227382346,0.001421357729122974,0.4009858965873718,580,0.0003
113.87199999999999,60,584.42,5901,122880,20,7.643566480651498,6.76040506362915,0.2,0.0021269878,0.017626953125,-0.04281356978754047,-0.0011901354984729551,0.21991199254989624,590,0.0003
115.08100000000002,61,589.5,5901,124928,21,11.05209325440228,4.774260520935059,0.2,0.0026079274,0.01865234375,-0.03892921388905961,-0.0016512060166860465,0.14894765615463257,600,0.0003
117.04000000000002,62,598.08,5903,126976,21,7.841175752785057,1.4341236352920532,0.2,0.0010908307,0.018505859375,-0.03920629979329533,-0.0007330306914809625,0.2584848403930664,610,0.0003
116.36999999999998,63,594.37,5905,129024,21,4.171745308581739,0.2161126583814621,0.2,0.002281419,0.01904296875,-0.040875754924491046,0.003548517672606977,0.4100654721260071,620,0.0003
118.74300000000001,64,604.58,5905,131072,22,11.08460195567459,5.097508907318115,0.2,0.003736097,0.018505859375,-0.03842707990188501,-0.0025328469229862092,0.18149501085281372,630,0.0003
119.757,65,607.7,5906,133120,22,0.17946187660563737,0.10022647678852081,0.2,0.003730087,0.019384765625,-0.03735379757472401,0.003258246142650023,0.8489992618560791,640,0.0003
121.19300000000001,66,614.56,5906,135168,22,4.095457842387259,3.969728469848633,0.2,0.0024961848,0.0212890625,-0.04250426495127613,0.002301501973124687,0.3627384305000305,650,0.0003
125.25599999999999,67,632.67,5906,137216,23,7.463262903038412,0.2945503890514374,0.2,0.0012903317,0.0158203125,-0.03876434751000488,-0.00040842259986675347,0.21287882328033447,660,0.0003
124.556,68,629.67,5904,139264,23,0.20114256993401797,0.07692085206508636,0.2,0.0012002869,0.02021484375,-0.03876822158053983,0.002025415409298148,0.8561867475509644,670,0.0003
126.883,69,639.42,5903,141312,23,8.251659295801073,1.2038556337356567,0.2,0.0012431853,0.015087890625,-0.039374598844187855,-0.0005404781782999635,0.23008906841278076,680,0.0003
128.265,70,644.73,5905,143360,24,0.2277488944819197,0.07061922550201416,0.2,0.0020705382,0.01572265625,-0.038427346356183986,0.0023502727533923464,0.9051750302314758,690,0.0003
130.39600000000002,71,654.53,5906,145408,24,3.8638826584676282,0.12319902330636978,0.2,0.003184164,0.01884765625,-0.03251496067277913,0.003908758269972168,0.38180238008499146,700,0.0003
132.93300000000002,72,665.39,5906,147456,24,0.22278888269793243,0.09427496045827866,0.2,0.0012311118,0.016162109375,-0.03427075592408073,0.003053842128429096,0.9142664670944214,710,0.0003
133.79399999999998,73,667.98,5904,149504,25,4.38670347854495,1.485461950302124,0.2,0.00084693445,0.01552734375,-0.03930991306406213,0.000702475436264649,0.3632744550704956,720,0.0003
126.08699999999999,74,633.45,5902,151552,25,0.2150107791647315,0.1087457612156868,0.2,0.0056515876,0.022314453125,-0.03696822716156021,0.002830310177523643,0.9118424654006958,730,0.0003
127.20399999999998,75,639.63,5899,153600,26,25.416788789629937,11.99205493927002,0.2,0.020380508,0.028662109375,-0.03762287460485823,-0.004493668054055888,0.03897738456726074,740,0.0003
127.347,76,639.56,5899,155648,26,8.406730961892753,8.272801399230957,0.2,0.00095854636,0.0111328125,-0.03411534796759952,0.0019521435431670397,0.17927533388137817,750,0.0003
129.572,77,649.29,5897,157696,26,4.184063684660941,0.4986734688282013,0.2,0.0022865376,0.01982421875,-0.03750364892039215,0.004646000576030929,0.36420953273773193,760,0.0003
125.72,78,631.3,5895,159744,27,0.32496981164440514,0.22857601940631866,0.2,0.012605483,0.02119140625,-0.03358486059150891,0.0027118506899569184,0.8385885953903198,770,0.0003
127.53299999999999,79,639.93,5895,161792,27,11.054938731715083,2.5515377521514893,0.2,0.0045610773,0.02490234375,-0.0427849693398457,-0.0023404203690006397,0.13971376419067383,780,0.0003
127.70599999999999,80,638.66,5897,163840,27,7.678729425603524,7.848963260650635,0.2,0.0008743176,0.01337890625,-0.041331851136055774,-0.0016537316572794226,0.30031269788742065,790,0.0003
126.77999999999999,81,634.41,5897,165888,28,11.147482627630234,8.858516693115234,0.2,0.0015810616,0.019384765625,-0.043400098802521825,-0.0013544843619456514,0.22727346420288086,800,0.0003
127.87199999999999,82,638.31,5897,167936,28,4.127080498728901,3.238450765609741,0.2,0.0027053254,0.019140625,-0.03879989363776985,0.0019464683275145945,0.39782512187957764,810,0.0003
131.679,83,655.36,5897,169984,28,4.116270441468805,0.169582337141037,0.2,0.002132702,0.017529296875,-0.03776887023122981,0.0011408033446059563,0.42679136991500854,820,0.0003
135.18699999999998,84,672.94,5898,172032,29,0.25818906594067814,0.16139830648899078,0.2,0.0038916697,0.024169921875,-0.03946533634734806,0.002573798368393909,0.8898305892944336,830,0.0003
136.682,85,678.88,5897,174080,29,13.80150621496141,10.967469215393066,0.2,0.0062449304,0.02685546875,-0.039229151864128654,-0.0033446864363213535,0.10370129346847534,840,0.0003
135.864,86,674.7,5896,176128,29,4.233400968275964,0.1855565458536148,0.2,0.002218856,0.024072265625,-0.0401049367221276,0.0014584690201445484,0.4400976300239563,850,0.0003
136.976,87,679.31,5897,178176,30,11.40767042953521,4.442677974700928,0.2,0.002477428,0.015087890625,-0.03988104136296897,-0.0013035321491770447,0.19955360889434814,860,0.0003
137.863,88,684.68,5897,180224,30,4.133536052843556,0.2662389278411865,0.2,0.003275636,0.018212890625,-0.034944352807360704,0.00032355903822463007,0.39592671394348145,870,0.0003
137.81300000000002,89,684.68,5895,182272,30,4.024283406790346,3.7028329372406006,0.2,0.0021735502,0.019189453125,-0.0358140140735486,0.0012105851667001844,0.3641032576560974,880,0.0003
141.471,90,701.75,5894,184320,31,0.1843323922599666,0.13885675370693207,0.2,0.0018730359,0.019140625,-0.03521042617503554,0.0038000621745595707,0.9210001826286316,890,0.0003
140.738,91,698.42,5893,186368,31,7.836435978952795,0.3383201062679291,0.2,0.0033253497,0.012890625,-0.03723051061824663,-0.0015034024290798698,0.24641108512878418,900,0.0003
140.791,92,698.94,5892,188416,31,7.833640955109149,2.6156110763549805,0.2,0.00257068,0.020166015625,-0.03827176775521366,-0.0022615813366428485,0.19971299171447754,910,0.0003
141.078,93,700.8,5890,190464,32,0.13986874967813492,0.04507129639387131,0.2,0.0005171619,0.01865234375,-0.036249156301346376,0.0038631791350780985,0.9134859442710876,920,0.0003
142.96899999999997,94,708.7,5889,192512,32,0.15416273154551163,0.06749918311834335,0.2,0.0029508355,0.0232421875,-0.04277538571623154,0.002444203484628815,0.9300650954246521,930,0.0003
141.43099999999998,95,701.33,5890,194560,33,8.106630261335521,16.606168746948242,0.2,0.002061979,0.015380859375,-0.05445032005663961,-0.0015261555738106836,0.20967906713485718,940,0.0003
141.611,96,701.62,5888,196608,33,11.829398929700256,7.157107353210449,0.2,0.000853202,0.01884765625,-0.050598871504189444,-0.0032305557091603988,0.15152913331985474,950,0.0003
143.16299999999998,97,708.64,5887,198656,33,3.9262184577528387,0.13478155434131622,0.2,0.0011068874,0.015673828125,-0.048198598279850555,0.0018500533631595317,0.37083035707473755,960,0.0003
145.49399999999997,98,718.44,5887,200704,34,7.850218508951366,0.26972755789756775,0.2,0.0006553957,0.0166015625,-0.04574661509832367,-0.0017101053104852325,0.20582735538482666,970,0.0003
142.749,99,706.51,5887,202752,34,0.18447599813807755,0.08355971425771713,0.2,0.0049053617,0.022998046875,-0.04310137297798065,0.0020417275401996447,0.8958178758621216,980,0.0003
143.77999999999997,100,712.32,5887,204800,34,7.962514068931341,3.649420738220215,0.2,0.0024445318,0.018359375,-0.04013472718943376,-0.0025426256062928585,0.22178208827972412,990,0.0003
144.21099999999998,101,714.12,5887,206848,35,4.176791553478688,1.631847620010376,0.2,0.002301879,0.016845703125,-0.04039459721243475,0.0013732113984588068,0.4148254990577698,1000,0.0003
146.34199999999998,102,723.92,5888,208896,35,0.22538152842316778,0.1834079921245575,0.2,0.0028265005,0.021728515625,-0.03970303746464197,0.004054964083479717,0.9051897525787354,1010,0.0003
136.578,103,680.83,5886,210944,35,0.2345967223169282,0.06972454488277435,0.2,0.003965552,0.022216796875,-0.04177657293912489,-0.00013448493991745635,0.9066690802574158,1020,0.0003
136.386,104,680.42,5885,212992,36,24.709191216528417,11.67749309539795,0.2,0.003146199,0.0181640625,-0.04400209705418092,-0.004197789966565324,0.048994600772857666,1030,0.0003
131.85,105,661.08,5885,215040,36,7.9515426304191354,1.6927580833435059,0.2,0.0024015915,0.011669921875,-0.0405843434331473,0.00021628638496622442,0.20340383052825928,1040,0.0003
132.70699999999997,106,664.64,5884,217088,36,11.23295378126204,6.040219306945801,0.2,0.0018190352,0.01416015625,-0.04075485999856028,-0.00224923140485771,0.21381431818008423,1050,0.0003
136.09199999999998,107,679.47,5882,219136,37,4.156029340997338,0.16357466578483582,0.2,0.0007600981,0.016748046875,-0.04247802109384793,-0.0009027640204294585,0.42487967014312744,1060,0.0003
139.726,108,696.3,5882,221184,37,0.3014107191003859,0.09549670666456223,0.2,0.0026580058,0.018359375,-0.03862732708075782,0.0012742793434881606,0.8966706395149231,1070,0.0003
143.224,109,712.76,5883,223232,37,3.99896865892224,3.9212276935577393,0.2,0.0027949053,0.01435546875,-0.032026293133822034,0.002084651051700348,0.3924369812011719,1080,0.0003
140.493,110,698.95,5884,225280,38,0.21398063506931067,0.09319420903921127,0.2,0.004308811,0.0173828125,-0.0329951407322369,0.002412586743594147,0.9233116507530212,1090,0.0003
140.617,111,698.7,5882,227328,38,10.536561831831932,6.840740203857422,0.2,0.002188876,0.014111328125,-0.035898726993764285,-0.0023547582444734872,0.18189507722854614,1100,0.0003
141.79399999999998,112,703.96,5881,229376,39,4.26594862327911,0.4122585952281952,0.2,0.0015202541,0.015087890625,-0.03942193301954831,-0.0002766986297501717,0.27801334857940674,1110,0.0003
144.319,113,716.2,5880,231424,39,0.1893122630659491,0.10545779764652252,0.2,0.0017049735,0.016796875,-0.036083638857599,0.0019978779600933194,0.8890022039413452,1120,0.0003
145.138,114,719.37,5878,233472,39,4.264920741948299,5.997170925140381,0.2,0.0015288121,0.014306640625,-0.033674973507004324,-0.0006238713031052612,0.30791640281677246,1130,0.0003
146.44299999999998,115,725.91,5877,235520,40,0.21645682721864432,0.10914994031190872,0.2,0.001113985,0.008251953125,-0.03244089346480905,0.0015156654219026678,0.906387984752655,1140,0.0003
147.24499999999998,116,730.42,5877,237568,40,4.213543020561337,2.9234602451324463,0.2,0.0023463275,0.011279296875,-0.026586959019550705,-0.0004956450233294163,0.3674996495246887,1150,0.0003
148.22099999999998,117,734.67,5876,239616,40,0.12218244536779821,0.08212482929229736,0.2,0.0015912789,0.013525390625,-0.026640245899307045,0.0011350153290550224,0.9483445882797241,1160,0.0003
145.69099999999997,118,723.39,5875,241664,41,0.1898233629995957,0.07138729095458984,0.2,0.0027019386,0.014404296875,-0.02899046355014434,0.0020478048347285947,0.9180945754051208,1170,0.0003
145.414,119,720.61,5875,243712,41,12.045406813919545,8.18681812286377,0.2,0.0017106773,0.015234375,-0.026759369373394293,-0.0021357633580919356,0.1384783387184143,1180,0.0003
148.60899999999998,120,735.55,5875,245760,41,4.141554860188625,7.0533037185668945,0.2,0.0006505047,0.01083984375,-0.028923664891408407,0.0026224253233522177,0.3763691782951355,1190,0.0003
148.827,121,737.73,5874,247808,42,4.174333266587928,0.14983879029750824,0.2,0.0006646404,0.0154296875,-0.028912488572495933,-0.0006168472988065332,0.3774815797805786,1200,0.0003
149.947,122,743.42,5873,249856,42,4.124200985301286,0.3192808926105499,0.2,0.0021177162,0.012744140625,-0.028770195110337227,0.0014364673916134052,0.37075483798980713,1210,0.0003
152.50699999999998,123,755.01,5873,251904,42,0.25528383986093106,0.10685895383358002,0.2,0.0015096191,0.012890625,-0.031161928919755156,0.0019286478665890173,0.9016318321228027,1220,0.0003
